Ticker,Shares
MFC,1443.8867943165428
ADBE,29.097413973197813
SLF,243.58027463919802
AMZN,75.59984601206989
GOOG,89.46533362247506
AFL,132.5940151053324
OTEX,506.0183664075159
MMM,116.04299555552738
JPM,59.95671331235557
AAPL,64.82899723020533
CNQ,8212.486545942926
ALLE,490.5536397611497
WMT,164.77488804154027
WFC,196.18537988905246
ALL,73.12188937001496
T,642.8921950200344
BAC,317.06896333531665
MA,28.61083918109172
CM,227.79336126355008
QSR,215.66196245779136
CMCSA,342.8166749087177
MS,110.64103501848415
ABBV,84.2172451753038
ACN,41.54977171861801
