JPM
ADBE
BCE
ALLE
BIP.UN
QSR
CMCSA
MMM
ACN
RY
AES
AQN
RCI.B
AMZN
GOOG
AKAM
KO
AAPL
WMT
AFL
MFC
MA
BAC
CNQ
WFC
CSCO
ALL
OTEX
T
CM
SLF
DIS
FB
MG
PYPL
MS
ABBV
A
GIB.A
